Asset_ID,Anomaly_Type,Severity,Description,Timestamp,Recommended_Action
EQX1001,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-10-30 08:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1001,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-11-01 09:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1002,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2025-03-14 04:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1003,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2025-02-28 20:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1003,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2025-03-01 10:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1003,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2025-03-02 22:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1004,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2025-05-14 23:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1005,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-12-12 03:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1005,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-12-14 12:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1006,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-11-26 05:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1006,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-11-27 13:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1007,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-08-16 15:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1007,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-08-16 23:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1007,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-08-18 09:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1008,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-11-02 17:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1008,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-11-04 01:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1008,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2024-11-05 18:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1009,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2025-04-10 08:00:00,Shut down engine immediately and dispatch emergency field mechanic.
EQX1009,Engine Condition = CRITICAL,CRITICAL,Critical engine condition flagged due to extreme temperature or vibration spikes.,2025-04-11 09:00:00,Shut down engine immediately and dispatch emergency field mechanic.
