Equipment_ID,Equipment_Code,Equipment_Type,Make,Model,Year,Daily_Rental_Rate,Site_ID,Latitude,Longitude,Status
EQ-1001,AST-101,Bulldozer,Caterpillar,CAT D6,2020,520.0,S007,40.58556820604737,-122.38501779146719,AVAILABLE
EQ-1002,AST-102,Wheel Loader,Caterpillar,CAT 950M,2020,480.0,S006,36.74099014061543,-119.77726044355902,AVAILABLE
EQ-1003,AST-103,Bulldozer,Caterpillar,CAT D6,2022,520.0,S003,37.80898253595901,-122.27793195012475,AVAILABLE
EQ-1004,AST-104,Compactor,Caterpillar,CAT CB2.7,2023,220.0,S005,37.38986323916866,-121.9698076965206,AVAILABLE
EQ-1005,AST-105,Dump Truck,Caterpillar,CAT 745,2019,600.0,S001,37.78133605188014,-122.41329908398457,AVAILABLE
EQ-1006,AST-106,Compactor,Caterpillar,CAT CB2.7,2018,220.0,S005,37.38031965687173,-121.9553418057133,AVAILABLE
EQ-1007,AST-107,Dump Truck,Caterpillar,CAT 745,2023,600.0,S004,38.58158462518985,-121.48670633692227,AVAILABLE
EQ-1008,AST-108,Skid Steer,Caterpillar,CAT 259D3,2020,180.0,S003,37.79719260639051,-122.26630022035816,AVAILABLE
EQ-1009,AST-109,Backhoe Loader,Caterpillar,CAT 420,2022,280.0,S007,40.58448801010281,-122.39731358481686,AVAILABLE
EQ-1010,AST-110,Wheel Loader,Caterpillar,CAT 950M,2018,480.0,S008,35.378415643150674,-119.01147794180666,AVAILABLE
EQ-1011,AST-111,Wheel Loader,Caterpillar,CAT 950M,2024,480.0,S003,37.80800962426993,-122.26927181938535,AVAILABLE
EQ-1012,AST-112,Compactor,Caterpillar,CAT CB2.7,2022,220.0,S007,40.5964224276048,-122.39111771309801,AVAILABLE
EQ-1013,AST-113,Excavator,Caterpillar,CAT 320,2023,450.0,S002,37.34589576900258,-121.88128244400818,AVAILABLE
EQ-1014,AST-114,Dump Truck,Caterpillar,CAT 745,2020,600.0,S002,37.336895305013385,-121.88722552587342,AVAILABLE
EQ-1015,AST-115,Backhoe Loader,Caterpillar,CAT 420,2022,280.0,S003,37.8126525567869,-122.26378962860326,AVAILABLE
EQ-1016,AST-116,Backhoe Loader,Caterpillar,CAT 420,2019,280.0,S004,38.57907827705183,-121.50116901928493,AVAILABLE
EQ-1017,AST-117,Excavator,Caterpillar,CAT 320,2021,450.0,S006,36.737189534847715,-119.76401802767471,AVAILABLE
EQ-1018,AST-118,Backhoe Loader,Caterpillar,CAT 420,2018,280.0,S004,38.576417431848945,-121.49305286112622,AVAILABLE
EQ-1019,AST-119,Bulldozer,Caterpillar,CAT D6,2023,520.0,S002,37.33791980926633,-121.89491574963064,AVAILABLE
EQ-1020,AST-120,Wheel Loader,Caterpillar,CAT 950M,2023,480.0,S003,37.803905647561976,-122.2702039281301,AVAILABLE
EQ-1021,AST-121,Backhoe Loader,Caterpillar,CAT 420,2019,280.0,S007,40.595078269860046,-122.38659469606728,AVAILABLE
EQ-1022,AST-122,Motor Grader,Caterpillar,CAT 14M,2021,550.0,S005,37.396002987133215,-121.96120243884721,AVAILABLE
EQ-1023,AST-123,Skid Steer,Caterpillar,CAT 259D3,2018,180.0,S008,35.368258112273324,-119.02741948207347,AVAILABLE
EQ-1024,AST-124,Excavator,Caterpillar,CAT 320,2022,450.0,S004,38.576004347689036,-121.50298013827982,AVAILABLE
EQ-1025,AST-125,Excavator,Caterpillar,CAT 320,2018,450.0,S004,38.58970840026012,-121.48720729199492,AVAILABLE
EQ-1026,AST-126,Bulldozer,Caterpillar,CAT D6,2020,520.0,S004,38.58497955556593,-121.50011526385259,AVAILABLE
EQ-1027,AST-127,Wheel Loader,Caterpillar,CAT 950M,2019,480.0,S008,35.37899238848581,-119.01255006004466,AVAILABLE
EQ-1028,AST-128,Motor Grader,Caterpillar,CAT 14M,2018,550.0,S002,37.34137965499029,-121.88921404866821,AVAILABLE
EQ-1029,AST-129,Compactor,Caterpillar,CAT CB2.7,2024,220.0,S008,35.3778815169892,-119.01523270905413,AVAILABLE
EQ-1030,AST-130,Bulldozer,Caterpillar,CAT D6,2021,520.0,S001,37.77946427176882,-122.41338814978276,AVAILABLE
EQ-1031,AST-131,Bulldozer,Caterpillar,CAT D6,2019,520.0,S004,38.57540417816882,-121.49542772904334,AVAILABLE
EQ-1032,AST-132,Compactor,Caterpillar,CAT CB2.7,2020,220.0,S003,37.80365256136802,-122.26371028091859,AVAILABLE
EQ-1033,AST-133,Bulldozer,Caterpillar,CAT D6,2024,520.0,S008,35.38052698209524,-119.017693493751,AVAILABLE
EQ-1034,AST-134,Excavator,Caterpillar,CAT 320,2018,450.0,S001,37.783427339660165,-122.41242608531171,AVAILABLE
EQ-1035,AST-135,Wheel Loader,Caterpillar,CAT 950M,2021,480.0,S007,40.58612716835942,-122.3844069921194,AVAILABLE
EQ-1036,AST-136,Excavator,Caterpillar,CAT 320,2021,450.0,S003,37.79444310756703,-122.27339156484824,AVAILABLE
EQ-1037,AST-137,Skid Steer,Caterpillar,CAT 259D3,2021,180.0,S005,37.390031830072004,-121.9595898936517,AVAILABLE
EQ-1038,AST-138,Skid Steer,Caterpillar,CAT 259D3,2019,180.0,S003,37.80033415650989,-122.26182581270061,AVAILABLE
EQ-1039,AST-139,Excavator,Caterpillar,CAT 320,2018,450.0,S006,36.73780284674528,-119.77306422965782,AVAILABLE
EQ-1040,AST-140,Wheel Loader,Caterpillar,CAT 950M,2022,480.0,S001,37.76650222930481,-122.42568350078038,AVAILABLE
