Equipment_ID,Equipment_Code,Equipment_Type,Make,Model,Year,Daily_Rental_Rate,Site_ID,Latitude,Longitude,Status
EQX1001,AST-1001,Backhoe Loader,Caterpillar,CAT D6,2024,579.84,S006,36.74149737197053,-119.7763916107141,AVAILABLE
EQX1002,AST-1002,Grader,Caterpillar,CAT 320,2018,282.83,S003,37.80390272688437,-122.2642052461075,AVAILABLE
EQX1003,AST-1003,Bulldozer,Caterpillar,CAT CB2.7,2023,421.78,S008,35.37766691830998,-119.02102043065214,AVAILABLE
EQX1004,AST-1004,Compactor,Caterpillar,CAT 950M,2023,468.8,S004,38.58945319652423,-121.48719118869155,AVAILABLE
EQX1005,AST-1005,Bulldozer,Caterpillar,CAT 14M,2019,517.73,S007,40.59041823552817,-122.39240900230853,AVAILABLE
EQX1006,AST-1006,Grader,Caterpillar,CAT 259D3,2019,516.59,S002,37.34155155465173,-121.87654215093868,AVAILABLE
EQX1007,AST-1007,Crane,Caterpillar,CAT CB2.7,2024,560.88,S008,35.37221827224153,-119.02551684184914,AVAILABLE
EQX1008,AST-1008,Skid Steer,Caterpillar,CAT 420,2024,283.84,S008,35.37605322873552,-119.01338372631405,AVAILABLE
EQX1009,AST-1009,Skid Steer,Caterpillar,CAT 420,2021,212.54,S004,38.57731456301727,-121.49896569785837,AVAILABLE
EQX1010,AST-1010,Crane,Caterpillar,CAT 950M,2019,277.13,S002,37.34207899624598,-121.88217161716612,AVAILABLE
EQX1011,AST-1011,Bulldozer,Caterpillar,CAT CB2.7,2020,407.9,S007,40.58481548468206,-122.39756331220973,AVAILABLE
EQX1012,AST-1012,Compactor,Caterpillar,CAT 320,2024,549.88,S007,40.5880138069362,-122.39216040534885,AVAILABLE
EQX1013,AST-1013,Crane,Caterpillar,CAT CB2.7,2024,554.49,S005,37.39281457341597,-121.9634355886478,AVAILABLE
EQX1014,AST-1014,Grader,Caterpillar,CAT 14M,2020,363.05,S008,35.363880496398934,-119.02197740912602,AVAILABLE
EQX1015,AST-1015,Compactor,Caterpillar,CAT 259D3,2019,591.9,S003,37.80508247259065,-122.26306142274824,AVAILABLE
EQX1016,AST-1016,Excavator,Caterpillar,CAT CB2.7,2019,544.08,S002,37.33183458053027,-121.89109687372162,AVAILABLE
EQX1017,AST-1017,Crane,Caterpillar,CAT 259D3,2020,321.75,S004,38.58919279972004,-121.49883486768722,AVAILABLE
EQX1018,AST-1018,Compactor,Caterpillar,CAT D6,2021,188.14,S005,37.38688838095845,-121.9542018434298,AVAILABLE
EQX1019,AST-1019,Crane,Caterpillar,CAT D6,2024,582.06,S004,38.57240516275082,-121.50377940002238,AVAILABLE
EQX1020,AST-1020,Grader,Caterpillar,CAT 320,2022,244.0,S004,38.57412441949749,-121.4910108231076,AVAILABLE
EQX1021,AST-1021,Grader,Caterpillar,CAT 420,2024,334.94,S008,35.375417853851204,-119.00942530511796,AVAILABLE
EQX1022,AST-1022,Bulldozer,Caterpillar,CAT 420,2018,423.05,S003,37.812977743368144,-122.26968406543176,AVAILABLE
EQX1023,AST-1023,Compactor,Caterpillar,CAT 14M,2018,428.68,S007,40.593111432675606,-122.39684301238924,AVAILABLE
EQX1024,AST-1024,Backhoe Loader,Caterpillar,CAT 320,2020,403.75,S002,37.341430426813744,-121.8949208652696,AVAILABLE
EQX1025,AST-1025,Crane,Caterpillar,CAT CB2.7,2024,385.88,S001,37.77357046802652,-122.42215623923008,AVAILABLE
EQX1026,AST-1026,Skid Steer,Caterpillar,CAT CB2.7,2019,488.19,S003,37.813709474624766,-122.27579835207224,AVAILABLE
EQX1027,AST-1027,Skid Steer,Caterpillar,CAT CB2.7,2024,487.03,S008,35.36866791076098,-119.0116657367996,AVAILABLE
EQX1028,AST-1028,Bulldozer,Caterpillar,CAT 259D3,2019,495.2,S005,37.38749699289357,-121.9608362305911,AVAILABLE
EQX1029,AST-1029,Crane,Caterpillar,CAT 259D3,2024,316.51,S001,37.77465099864783,-122.42230350067648,AVAILABLE
EQX1030,AST-1030,Backhoe Loader,Caterpillar,CAT 420,2022,474.5,S006,36.74232537151512,-119.78239697771124,AVAILABLE
EQX1031,AST-1031,Grader,Caterpillar,CAT 14M,2023,350.7,S002,37.33930352423164,-121.89149352127752,AVAILABLE
EQX1032,AST-1032,Skid Steer,Caterpillar,CAT 259D3,2024,187.24,S008,35.36918471162641,-119.02061197742644,AVAILABLE
EQX1033,AST-1033,Grader,Caterpillar,CAT 745,2021,412.46,S005,37.38297514788293,-121.9542673707208,AVAILABLE
EQX1034,AST-1034,Crane,Caterpillar,CAT 259D3,2020,308.78,S006,36.74141076082597,-119.76817431337348,AVAILABLE
EQX1035,AST-1035,Crane,Caterpillar,CAT 950M,2019,270.88,S002,37.337883971744255,-121.88180829997816,AVAILABLE
EQX1036,AST-1036,Backhoe Loader,Caterpillar,CAT 14M,2020,275.54,S002,37.331788830873705,-121.89601703265488,AVAILABLE
EQX1037,AST-1037,Wheel Loader,Caterpillar,CAT 320,2018,412.41,S005,37.390048347858205,-121.97167441014084,AVAILABLE
EQX1038,AST-1038,Skid Steer,Caterpillar,CAT 320,2022,299.42,S002,37.33777428417213,-121.8894858813488,AVAILABLE
EQX1039,AST-1039,Excavator,Caterpillar,CAT 259D3,2018,525.29,S005,37.38411414884504,-121.9727183565949,AVAILABLE
EQX1040,AST-1040,Excavator,Caterpillar,CAT 950M,2024,416.39,S003,37.80047671023684,-122.2613216375458,AVAILABLE
