Equipment_ID,Equipment_Code,Equipment_Type,Make,Model,Year,Daily_Rental_Rate,Site_ID_asset,Latitude,Longitude,Status,Type,Site_ID_rental,Check_In_Date,Check_Out_Date,Original_Return_Date,Actual_Return_Date,Engine_Hours_Day,Idle_Hours_Day,Rental_Days,Contract_Type,Rental_Status,Is_Extended,Extension_Count,Last_Operator_ID,Total_Telemetry_Logs,Max_Operating_Hours,Avg_Fuel_Remaining_Pct,Total_Fuel_Used,Critical_Engine_Condition_Count,Warning_Engine_Condition_Count,DTC_Count,Latest_Latitude,Latest_Longitude,Current_Site,Rental_Age_Days,Days_Remaining,Expected_Return_Date,Contract_Completion_Pct,Total_Operating_Hours,Utilization_Percentage,Idle_Percentage,Fuel_Consumption_Rate,Asset_Health_Score
EQX1001,AST-1001,Backhoe Loader,Caterpillar,CAT D6,2024,579.84,S006,36.74149737197053,-119.7763916107141,AVAILABLE,Excavator,S003,2025-04-01,2025-04-16,2025-04-16,2025-04-16,1.5,10.0,15,SHORT_TERM,COMPLETED,False,0,OP101,125,2409.2,52.0584,28585.3,2,2,4,40.589024,-122.390804,S001,491,-477,2025-04-16,100.0,2409.2,13.04,86.96,11.87,76.0
EQX1002,AST-1002,Grader,Caterpillar,CAT 320,2018,282.83,S003,37.80390272688437,-122.2642052461075,AVAILABLE,Crane,,2025-03-10,2025-03-30,2025-03-30,2025-03-30,0.0,11.0,20,SHORT_TERM,COMPLETED,False,0,,125,1120.4,52.2816,13178.0,1,3,4,37.339256,-121.889928,S001,513,-494,2025-03-30,100.0,1120.4,0.0,100.0,11.76,76.0
EQX1003,AST-1003,Bulldozer,Caterpillar,CAT CB2.7,2023,421.78,S008,35.37766691830998,-119.02102043065214,AVAILABLE,Wheel Loader,S003,2025-05-20,2025-07-03,2025-07-03,2025-07-03,2.4,8.9,44,MEDIUM_TERM,COMPLETED,False,0,OP211,125,1232.2,51.960800000000006,15395.3,3,6,9,35.376649,-119.015337,S001,442,-399,2025-07-03,100.0,1232.2,21.24,78.76,12.49,76.0
EQX1004,AST-1004,Compactor,Caterpillar,CAT 950M,2023,468.8,S004,38.58945319652423,-121.48719118869155,AVAILABLE,Excavator,S004,2025-05-05,2025-05-15,2025-05-15,2025-05-15,2.0,9.0,10,SHORT_TERM,COMPLETED,False,0,OP106,125,2490.1,53.2776,31947.3,1,7,8,38.586537,-121.497787,S001,457,-448,2025-05-15,100.0,2490.1,18.18,81.82,12.83,52.0
EQX1005,AST-1005,Bulldozer,Caterpillar,CAT 14M,2019,517.73,S007,40.59041823552817,-122.39240900230853,AVAILABLE,Wheel Loader,S006,2025-07-08,2026-06-16,2026-01-14,,5.6,2.2,343,LONG_TERM,EXTENDED,True,3,OP316,125,2846.9,52.693599999999996,35200.3,2,4,6,40.587834,-122.388096,S001,393,-51,2026-06-16,100.0,2846.9,71.79,28.21,12.36,76.0
EQX1006,AST-1006,Grader,Caterpillar,CAT 259D3,2019,516.59,S002,37.34155155465173,-121.87654215093868,AVAILABLE,Backhoe Loader,S003,2025-05-22,2025-10-12,2025-06-08,,1.3,10.8,143,SHORT_TERM,EXTENDED,True,3,OP296,125,1276.6,52.8416,16682.1,2,4,6,37.387072,-121.968469,S001,440,-298,2025-10-12,100.0,1276.6,10.74,89.26,13.07,76.0
EQX1007,AST-1007,Crane,Caterpillar,CAT CB2.7,2024,560.88,S008,35.37221827224153,-119.02551684184914,AVAILABLE,Excavator,,2025-03-20,2025-04-01,2025-04-01,2025-04-01,0.0,12.0,12,SHORT_TERM,COMPLETED,False,0,,125,3233.8,53.0544,44631.4,3,5,8,35.368844,-119.020364,S001,503,-492,2025-04-01,100.0,3233.8,0.0,100.0,13.8,76.0
EQX1008,AST-1008,Skid Steer,Caterpillar,CAT 420,2024,283.84,S008,35.37605322873552,-119.01338372631405,AVAILABLE,Crane,S002,2025-03-08,2025-03-18,2025-03-18,,2.4,11.5,10,SHORT_TERM,OVERDUE,False,0,OP182,125,1730.8,51.3,21361.3,3,7,10,36.742704,-119.770682,S001,515,-506,2025-03-18,100.0,1730.8,17.27,82.73,12.34,52.0
EQX1009,AST-1009,Skid Steer,Caterpillar,CAT 420,2021,212.54,S004,38.57731456301727,-121.49896569785837,AVAILABLE,Crane,S008,2025-04-09,2025-04-17,2025-04-17,,8.9,2.0,8,SHORT_TERM,OVERDUE,False,0,OP261,125,534.4,53.1776,7287.5,3,5,8,35.372017,-119.016686,S001,483,-476,2025-04-17,100.0,534.4,81.65,18.35,13.64,76.0
EQX1010,AST-1010,Crane,Caterpillar,CAT 950M,2019,277.13,S002,37.34207899624598,-121.88217161716612,AVAILABLE,Excavator,S004,2025-07-15,2025-08-08,2025-08-08,,2.5,11.7,24,SHORT_TERM,ACTIVE,False,0,OP282,125,833.7,53.1616,9538.2,2,12,14,38.586282,-121.491477,S001,386,-363,2025-08-08,100.0,833.7,17.61,82.39,11.44,76.0
