Equipment_ID,Type,Site_ID,Check_In_Date,Check_Out_Date,Original_Return_Date,Actual_Return_Date,Engine_Hours_Day,Idle_Hours_Day,Rental_Days,Contract_Type,Rental_Status,Is_Extended,Extension_Count,Last_Operator_ID
EQX1001,Excavator,S003,2025-04-01,2025-04-16,2025-04-16,2025-04-16,1.5,10,15,SHORT_TERM,COMPLETED,False,0,OP101
EQX1002,Crane,NULL,2025-03-10,2025-03-30,2025-03-30,2025-03-30,0,11,20,SHORT_TERM,COMPLETED,False,0,NULL
EQX1003,Bulldozer,S002,2025-02-15,2025-03-11,2025-03-11,2025-03-11,7.5,0.5,25,SHORT_TERM,COMPLETED,False,0,OP203
EQX1004,Excavator,S004,2025-05-05,2025-05-15,2025-05-15,2025-05-15,2,9,10,SHORT_TERM,COMPLETED,False,0,OP106
EQX1005,Bulldozer,S006,2025-01-01,2025-01-31,2025-01-31,2025-01-31,8,0,30,SHORT_TERM,COMPLETED,False,0,OP301
EQX1006,Grader,S001,2025-04-05,2025-04-23,2025-04-23,2025-04-23,3,6,18,SHORT_TERM,COMPLETED,False,0,OP114
EQX1007,Excavator,NULL,2025-03-20,2025-04-01,2025-04-01,2025-04-01,0,12,12,SHORT_TERM,COMPLETED,False,0,NULL
EQX1008,Excavator,S006,2024-11-01,2024-11-20,2024-11-20,NULL,6.8,0.7,19,SHORT_TERM,OVERDUE,False,0,OP165
EQX1009,Crane,S008,2025-04-09,2025-04-17,2025-04-17,NULL,8.9,2.0,8,SHORT_TERM,OVERDUE,False,0,OP261
EQX1010,Excavator,S004,2025-07-15,2025-08-08,2025-08-08,NULL,2.5,11.7,24,SHORT_TERM,ACTIVE,False,0,OP282
EQX1011,Skid Steer,S003,2024-11-04,2025-07-16,2025-07-16,2025-07-16,6.9,1.9,254,LONG_TERM,COMPLETED,False,0,OP228
EQX1012,Wheel Loader,S003,2025-01-29,2025-02-18,2025-02-18,2025-02-18,5.9,1.4,20,SHORT_TERM,COMPLETED,False,0,OP118
EQX1013,Skid Steer,S008,2024-10-13,2024-10-30,2024-10-30,2024-10-30,8.8,3.4,17,SHORT_TERM,COMPLETED,False,0,OP238
EQX1014,Grader,S004,2025-02-10,2025-03-23,2025-03-23,2025-03-23,6.4,2.5,41,MEDIUM_TERM,COMPLETED,False,0,OP320
EQX1015,Wheel Loader,S001,2025-06-01,2025-09-23,2025-09-23,NULL,7.1,1.9,114,MEDIUM_TERM,ACTIVE,False,0,OP133
EQX1016,Wheel Loader,S003,2025-01-30,2025-02-14,2025-02-14,2025-02-14,1.2,10.7,15,SHORT_TERM,COMPLETED,False,0,OP120
EQX1017,Compactor,S008,2025-03-24,2025-04-02,2025-04-02,2025-04-02,8.2,1.8,9,SHORT_TERM,COMPLETED,False,0,OP239
EQX1018,Bulldozer,S002,2025-07-08,2025-08-26,2025-07-24,NULL,6.7,1.2,49,SHORT_TERM,EXTENDED,True,1,OP214
EQX1019,Compactor,S003,2025-01-08,2025-02-03,2025-02-03,2025-02-03,5.2,1.9,26,SHORT_TERM,COMPLETED,False,0,OP144
EQX1020,Backhoe Loader,S001,2024-08-10,2024-08-26,2024-08-26,NULL,9.4,1.4,16,SHORT_TERM,OVERDUE,False,0,OP306
EQX1021,Compactor,S008,2024-11-17,2025-03-18,2024-12-06,2025-03-18,8.0,0.6,121,SHORT_TERM,COMPLETED,True,2,OP317
EQX1022,Compactor,S001,2025-03-27,2025-07-08,2025-07-08,2025-07-08,7.6,2.5,103,MEDIUM_TERM,COMPLETED,False,0,OP256
EQX1023,Wheel Loader,S001,2024-09-29,2024-11-06,2024-11-06,NULL,6.1,1.7,38,MEDIUM_TERM,OVERDUE,False,0,OP180
EQX1024,Grader,S006,2025-04-29,2025-08-06,2025-08-06,NULL,6.9,2.9,99,MEDIUM_TERM,ACTIVE,False,0,OP236
EQX1025,Crane,S008,2024-08-10,2024-08-24,2024-08-24,2024-08-24,8.5,1.6,14,SHORT_TERM,COMPLETED,False,0,OP120
EQX1026,Compactor,NULL,2025-01-15,2025-06-10,2025-06-10,2025-06-10,1.7,11.3,146,MEDIUM_TERM,COMPLETED,False,0,NULL
EQX1027,Crane,S004,2025-02-05,2025-03-01,2025-03-01,2025-03-01,2.1,11.6,24,SHORT_TERM,COMPLETED,False,0,OP221
EQX1028,Backhoe Loader,S002,2025-02-17,2025-02-25,2025-02-25,NULL,7.2,1.7,8,SHORT_TERM,OVERDUE,False,0,OP136
