Telemetry_ID,Timestamp,Equipment_ID,Latitude,Longitude,Speed,Operating_Hours,Engine_Hours,Idle_Hours,Fuel_Used_Total,Fuel_Used_Last_24H,Fuel_Remaining_Percentage,DEF_Remaining_Percentage,Engine_Condition,Load_Count,Payload_Total,Diagnostic_Trouble_Code,GPS_Status,Ignition_Status
TEL-10001,2026-02-15 08:00:00,EQ-1002,37.810504,-122.267729,20.8,741.9,741.9,220.9,12513.3,129.8,92.8,82.2,GOOD,0,0.0,,ONLINE,ON
TEL-10002,2026-02-15 08:30:00,EQ-1002,37.804085,-122.270649,18.2,742.4,742.4,221.0,12519.5,149.5,90.3,82.1,GOOD,0,0.0,,ONLINE,ON
TEL-10003,2026-02-15 09:00:00,EQ-1002,37.805333,-122.273126,23.9,742.9,742.9,221.0,12524.6,122.2,88.3,82.0,GOOD,0,0.0,,ONLINE,ON
TEL-10004,2026-02-15 09:30:00,EQ-1002,37.811237,-122.268978,19.7,743.4,743.4,221.1,12529.3,111.1,86.5,81.9,GOOD,0,0.0,,ONLINE,ON
TEL-10005,2026-02-15 10:00:00,EQ-1002,37.802961,-122.270641,11.3,743.9,743.9,221.2,12535.0,138.5,84.1,81.8,GOOD,1,0.7,,ONLINE,ON
TEL-10006,2026-02-15 10:30:00,EQ-1002,37.804378,-122.271659,22.0,744.4,744.4,221.7,12540.2,125.0,82.1,81.7,WARNING,1,8.2,P0562,ONLINE,ON
TEL-10007,2026-02-15 11:00:00,EQ-1002,38.233172,-121.861307,28.7,744.9,744.9,222.2,12547.7,178.8,79.1,81.6,GOOD,2,12.5,,ONLINE,ON
TEL-10008,2026-02-15 11:30:00,EQ-1002,37.805442,-122.270573,33.9,745.4,745.4,222.7,12555.5,187.0,76.0,81.5,GOOD,2,18.4,,ONLINE,ON
TEL-10009,2026-02-15 12:00:00,EQ-1002,37.810882,-122.271446,13.5,745.9,745.9,222.8,12561.5,145.0,73.6,81.4,GOOD,2,19.9,,ONLINE,ON
TEL-10010,2026-02-15 12:30:00,EQ-1002,37.808102,-122.2703,8.1,746.4,746.4,223.3,12568.6,169.0,70.7,81.3,GOOD,3,32.9,,ONLINE,ON
TEL-10011,2026-02-15 13:00:00,EQ-1002,37.802385,-122.269867,7.4,746.9,746.9,223.8,12574.3,138.5,68.4,81.2,GOOD,4,34.1,,ONLINE,ON
TEL-10012,2026-02-15 13:30:00,EQ-1002,37.806823,-122.26994,0.0,746.9,746.9,223.8,12574.4,2.4,68.4,81.1,GOOD,4,34.1,,ONLINE,OFF
TEL-10013,2026-02-15 14:00:00,EQ-1002,37.803332,-122.274321,31.6,747.4,747.4,223.9,12581.0,158.6,65.7,81.0,GOOD,4,41.7,,ONLINE,ON
TEL-10014,2026-02-15 14:30:00,EQ-1002,37.804652,-122.270852,10.6,747.9,747.9,224.0,12587.1,146.2,63.3,80.9,GOOD,5,42.7,,ONLINE,ON
TEL-10015,2026-02-15 15:00:00,EQ-1002,37.810556,-122.271606,24.5,748.4,748.4,224.5,12594.0,165.4,60.6,80.8,GOOD,6,44.6,,ONLINE,ON
TEL-10016,2026-02-15 15:30:00,EQ-1002,37.811294,-122.264968,5.3,748.9,748.9,224.6,12599.3,127.4,58.4,80.7,GOOD,7,44.9,,ONLINE,ON
TEL-10017,2026-02-15 16:00:00,EQ-1002,37.804781,-122.267059,33.4,749.4,749.4,224.7,12604.1,114.5,56.5,80.6,GOOD,7,54.8,,ONLINE,ON
TEL-10018,2026-02-15 16:30:00,EQ-1002,37.806823,-122.26994,0.0,749.4,749.4,224.7,12604.2,2.4,56.5,80.5,GOOD,7,54.8,,ONLINE,OFF
TEL-10019,2026-02-15 17:00:00,EQ-1002,37.807929,-122.267416,31.8,749.9,749.9,224.8,12609.7,131.0,54.3,80.4,GOOD,8,68.4,,ONLINE,ON
TEL-10020,2026-02-15 17:30:00,EQ-1002,37.80601,-122.273319,24.5,750.4,750.4,224.9,12616.7,169.9,51.5,80.3,GOOD,8,78.0,,ONLINE,ON
TEL-10021,2026-02-15 18:00:00,EQ-1002,37.806823,-122.26994,0.0,750.4,750.4,224.9,12616.8,2.4,51.4,80.2,GOOD,8,78.0,,ONLINE,OFF
TEL-10022,2026-02-15 18:30:00,EQ-1002,37.806334,-122.271444,11.4,750.9,750.9,224.9,12622.6,138.0,49.1,80.1,WARNING,9,92.9,P0017,ONLINE,ON
TEL-10023,2026-02-15 19:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12622.7,2.4,49.1,80.0,GOOD,9,92.9,,ONLINE,OFF
TEL-10024,2026-02-15 19:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12622.8,2.4,49.0,79.9,GOOD,9,92.9,,ONLINE,OFF
TEL-10025,2026-02-15 20:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12622.9,2.4,49.0,79.8,GOOD,9,92.9,,ONLINE,OFF
TEL-10026,2026-02-15 20:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12623.0,2.4,49.0,79.7,GOOD,9,92.9,,ONLINE,OFF
TEL-10027,2026-02-15 21:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12623.1,2.4,48.9,79.6,GOOD,9,92.9,,ONLINE,OFF
TEL-10028,2026-02-15 21:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12623.2,2.4,48.9,79.5,GOOD,9,92.9,,ONLINE,OFF
TEL-10029,2026-02-15 22:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12623.3,2.4,48.8,79.4,GOOD,9,92.9,,OFFLINE,OFF
TEL-10030,2026-02-15 22:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12623.4,2.4,48.8,79.3,GOOD,9,92.9,,ONLINE,OFF
TEL-10031,2026-02-15 23:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12623.5,2.4,48.8,79.2,GOOD,9,92.9,,ONLINE,OFF
TEL-10032,2026-02-15 23:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12623.6,2.4,48.7,79.1,GOOD,9,92.9,,ONLINE,OFF
TEL-10033,2026-02-16 00:00:00,EQ-1002,38.193379,-122.016499,0.0,750.9,750.9,224.9,12623.7,2.4,48.7,79.0,GOOD,9,92.9,,ONLINE,OFF
TEL-10034,2026-02-16 00:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12623.8,2.4,48.6,78.9,WARNING,9,92.9,P0420,ONLINE,OFF
TEL-10035,2026-02-16 01:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12623.9,2.4,48.6,78.8,GOOD,9,92.9,,ONLINE,OFF
TEL-10036,2026-02-16 01:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12624.0,2.4,48.6,78.7,GOOD,9,92.9,,ONLINE,OFF
TEL-10037,2026-02-16 02:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12624.1,2.4,48.5,78.6,GOOD,9,92.9,,ONLINE,OFF
TEL-10038,2026-02-16 02:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12624.2,2.4,48.5,78.5,WARNING,9,92.9,P0562,ONLINE,OFF
TEL-10039,2026-02-16 03:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12624.3,2.4,48.4,78.4,GOOD,9,92.9,,ONLINE,OFF
TEL-10040,2026-02-16 03:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12624.4,2.4,48.4,78.3,GOOD,9,92.9,,ONLINE,OFF
TEL-10041,2026-02-16 04:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12624.5,2.4,48.4,78.2,GOOD,9,92.9,,ONLINE,OFF
TEL-10042,2026-02-16 04:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12624.6,2.4,48.3,78.1,GOOD,9,92.9,,ONLINE,OFF
TEL-10043,2026-02-16 05:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12624.7,2.4,48.3,78.0,GOOD,9,92.9,,ONLINE,OFF
TEL-10044,2026-02-16 05:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12624.8,2.4,48.2,77.9,GOOD,9,92.9,,ONLINE,OFF
TEL-10045,2026-02-16 06:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12624.9,2.4,48.2,77.8,GOOD,9,92.9,,ONLINE,OFF
TEL-10046,2026-02-16 06:30:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12625.0,2.4,48.2,77.7,GOOD,9,92.9,,ONLINE,OFF
TEL-10047,2026-02-16 07:00:00,EQ-1002,37.806823,-122.26994,0.0,750.9,750.9,224.9,12625.1,2.4,48.1,77.6,GOOD,9,92.9,,ONLINE,OFF
TEL-10048,2026-02-16 07:30:00,EQ-1002,37.805543,-122.267309,14.4,751.4,751.4,225.0,12631.5,154.1,45.6,77.5,GOOD,10,96.6,,ONLINE,ON
TEL-10049,2026-02-16 08:00:00,EQ-1002,37.806286,-122.264976,26.4,751.9,751.9,225.1,12637.8,150.0,43.1,77.4,GOOD,10,98.6,,ONLINE,ON
TEL-10050,2026-02-16 08:30:00,EQ-1002,37.808501,-122.267845,8.1,752.4,752.4,225.3,12645.0,173.8,40.2,77.3,GOOD,10,109.3,,ONLINE,ON
TEL-10051,2026-02-16 09:00:00,EQ-1002,37.806823,-122.26994,0.0,752.4,752.4,225.3,12645.1,2.4,40.1,77.2,GOOD,10,109.3,,ONLINE,OFF
